Page ID,Page name,Disclaimer,Amount spent (GBP)
419083574829664,Plentific,Plentific,≤100
1540152786230577,Chris Philp,Edward Philip A Piska,≤100
490858150969676,5Pillars,5Pillars,≤100
410039183166707,Sarah Atherton MP,House of Commons,≤100
21242962092,ClientEarth,ClientEarth,≤100
0,Instagram User 4813087917,These ads ran without a disclaimer,≤100
100341195925376,Coventry Confidential,Coventry Confidential,≤100
1164193340281834,Stephen Morgan MP,Office of Stephen Morgan MP,≤100
1908112089264826,Nuii Ice Cream UK,These ads ran without a disclaimer,≤100
292169941434153,EarthBits,EarthBits,≤100
103273814470,SolarAid,SolarAid with Facebook Ad Credits,≤100
100105322336334,TUV Newry & Armagh,Traditional Unionist Voice,≤100
523852671440088,Scribe,Scribe Accounts,≤100
1213695678662681,Offers4Investors,These ads ran without a disclaimer,≤100
842865779059585,Norton Matters,Keane Charles Duncan,≤100
6233536938,War Child UK,These ads ran without a disclaimer,≤100
17999726169,Scottish Green Party,Scottish Green Party,≤100
200160670017135,Continental Tyres UK,Continental Tyre Group Ltd,≤100
299072343565477,South East Cambridgeshire Labour,Gareth Mark Wright,≤100
1104066886293096,East Midlands Labour,East Midlands Labour Party,≤100
238845759618209,Commonplace,Commonplace,≤100
150546392113327,The Koin Club,These ads ran without a disclaimer,≤100
1676844315869073,AirBrush,These ads ran without a disclaimer,≤100
101183108039162,P1vital,P1vital,≤100
111956985487415,Social Democratic and Labour Party,Social Democratic and Labour Party (SDLP),≤100
103447855026661,E-Runner,These ads ran without a disclaimer,≤100
20665390582,Medical Aid for Palestinians,Medical Aid for Palestinians,≤100
108951391565231,Help to Heat,Huw John Llewellyn,≤100
536434487252084,Protect & Connect UK,Protect and Connect,≤100
127275137437247,Orphic,These ads ran without a disclaimer,≤100
823982574310580,Ealing Conservatives,Ealing Conservatives,≤100
743321286418295,Jason Perry,Croydon Conservative Federation,≤100
1260151990695063,Rhondda Cynon Taf Labour,Rhondda Cynon Taf Labour,≤100
112845639376,Refugee Action,Refugee Action,≤100
112602494551904,Councillor Stephen Jenkinson for Pentland Hills Ward,Stephen Philip Jenkinson,≤100
109363928069364,Fiona In Grange,Fiona Marguerite Hanlon,≤100
103804555563918,Cllr Tommy Macpherson - a strong new voice for Campbeltown & South Kintyre,Thomas Macpherson,≤100
106550727987860,Allied Home,XL Marketing Grp,≤100
494458473950282,Nutella,Ferrero UK Ltd,≤100
108606898311684,Cllr Graeme Downie: West Fife & Coastal Villages,Graeme Downie for West Fife & Coastal Villages,≤100
106253667736030,Our Seas,Our Seas,≤100
101255718164248,350 UK,350.org,≤100
185095311610804,Nerve Centre,Nerve Centre,≤100
739229599593741,Liverpool City Region Combined Authority,Liverpool City Region Combined Authority,≤100
171429910030,CLOUD NINE,These ads ran without a disclaimer,≤100
110179997249658,Study Experiences,NEXT GENERATION TRAVEL,≤100
1053507698044385,TINCTURE,These ads ran without a disclaimer,≤100
572339552883787,Claire Sugden MLA,Claire Elizabeth Sugden,≤100
231582706875176,Andy Phillips & The Cadillac Walk,These ads ran without a disclaimer,≤100
264444526901270,Human Aid UK,Human Aid UK,≤100
325374451289147,Cllr Willie Samuel in Cullercoats,Tynemouth Constituency Labour Party,≤100
848591048639820,Sheffield Socialist Workers Party,Sheffield Socialist Workers Party,≤100
154767535015483,Valerie Kosenko,These ads ran without a disclaimer,≤100
583108122150645,Iamhere international,These ads ran without a disclaimer,≤100
87993564181,London Wildlife Trust,London Wildlife Trust,≤100
108703911715111,Crypto Minute Man,These ads ran without a disclaimer,≤100
