Page ID,Page name,Disclaimer,Amount spent (USD)
42940254353,Human Rights Watch,"HUMAN RIGHTS WATCH, INC.",124
203583423017526,National Immigration Law Center,National Immigration Law Center,123
112841831309523,Our American Real Estate,Our American - Real Estate,123
121268821249550,World Central Kitchen,World Central Kitchen,123
250485248333218,Clean Air Task Force,CLEAN AIR TASK FORCE,122
147447783311,Charlie Crist,"Charlie Crist, Democrat for Governor",122
126975136952,Progressive Policy Institute,Progressive Policy Institute,121
47918118982,Karen Bass,Karen Bass for Mayor 2022,121
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",121
167586229923327,World Food Program USA,World Food Program USA,120
121268821249550,World Central Kitchen,World Central Kitchen with Facebook ad credits,120
