Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
108554727975904,Rafael Fonteles,Rafael Fonteles,7016,34
666404146756018,Progressistas PI,Diretório Estadual do Progressistas - PI,7013,27
288912644461718,Diário Do Rio Doce,Jornal Diário do Rio Doce Ltda - EPP,7000,96
125056230917537,TIM Brasil,These ads ran without a disclaimer,6980,1
512906905424691,João Amin,João Amin,6971,196
115091970282973,InfluênciaPolítica,Influência Política,6957,364
190642107714952,Otavio Leite,Otavio Leite,6934,138
337944796341003,Solidariedade,Solidariedade,6933,77
1434477820131451,Governo do Amapá,Governo do Estado do Amapá - SECOM,6918,46
465508674236677,Edmar Ptak,Edmar Ptak Guimarães,6907,83
105844518414765,André Lajst,André Lajst,6889,9
196497324404921,Deputado Boca Aberta,Marly Ribeiro,6880,45
738378943172926,Faculdade Republicana,Faculdade Republicana,6880,11
780458271981477,Prefeitura de Gravataí,ADTREE PLUS GESTÃO E SOLUÇÕES EM INTERNET LTDA,6868,12
941325875978351,Paulo Dantas,Paulo Dantas,6850,7
454225234639209,Vereadora Edir Sales,Edir Sales,6836,47
645681708802441,Rodrigo Cunha,UNIÃO BRASIL - AL,6832,7
1087471917938156,Sistema Fecomércio RJ,Fecomércio RJ,6817,117
352566814808427,Luizão Goulart,Luiz Goularte Alves,6775,40
178642596183471,Avanti CNH,Avanti CNH,6720,3
656965247684115,Zequinha Marinho,Zequinha Marinho,6711,48
456872437699016,Sindifisco Nacional,Sindifisco Nacional,6707,24
293351651572087,Lia Lara,Instituto Dankemo,6699,575
103371698429791,Ação Itinerante Presente - Por Todo o Pará,Ossiam Netto,6685,12
367279553431714,Joel da Harpa,JOEL MAURINO DO CARMO,6677,29
299102027305,Sebrae Santa Catarina,These ads ran without a disclaimer,6622,15
404466369619965,Márcio CaneLLa,Marcio De Oliveira Correia,6618,12
2346861068967564,Portal Único,Portal Único,6613,66
409540602424777,Luciano Ducci,LUCIANO DUCCI,6610,109
194138040740933,Eduardo da Fonte,Eduardo Henrique da Fonte de Albuquerque Silva,6600,25
379143012542464,Vinícius Mariño,VInícius Mariño,6565,75
106702797785551,Alipinho,Alipio Alves De Oliveira Junior,6531,17
297562416980980,Décio Lima,Thiago Filomeno,6531,42
1045166105494697,Tenente Coronel Paccola,T. Coronel Paccola,6522,40
659203737425877,Augusto Coutinho,Augusto Rodrigues Coutinho de Melo,6516,30
102485949039145,União Brasil,Democratas - Diretório Tocantins,6500,143
288660317927031,Prefeitura Municipal de Araçatuba,PREFEITURA MUNICIPAL DE ARAÇATUBA,6500,25
513245022023902,Ismael Dos Santos,Ismael dos Santos,6499,215
1073772202658318,Janaína Lima,Janaina Carla de Lima,6499,66
163050077800523,Ricardo Rangel,Ricardo Rangel,6454,469
105778371255007,Adriano Mühlstedt,Adriano Marcus Muhlstedt,6453,105
851094731588215,Liana Cirne,Vereadora Liana Cirne,6406,29
1494712497406878,Tadeu Alencar,Tadeu Alencar,6394,79
497591763776836,Gustavo Schmidt,Gustavo Schmidt,6383,63
337249363028693,Cesar Silvestri Filho,Cesar Silvestri,6366,92
194268881328170,Paulo Rezende Jr. - Cientista Político,El Grupo Avanti,6356,14
100762890036761,Manhanelli Associados,CONSULTA INTELIGENCIA LTDA,6320,203
1947356288874816,Saullo Vianna,Saullo Velame Vianna,6315,75
428795217537762,Rodolfo Nogueira,Rodolfo Nogueira,6313,87
284484288887950,Yonny Pedroso,Yonny Pedroso,6305,274
176804919050368,Prefeitura de Mariana,MUNICIPIO DE MARIANA,6300,80
378584562192977,Filippi,José de Filippi Junior,6295,22
535953236533194,Cláudio Pinho,Francisco Claudio Pinto Pinho,6263,23
571823226531381,Jaime Nunes,Jaime Nunes,6249,31
492242434209344,Robinson Almeida,Robinson Almeida,6246,150
116507491761842,CERS Cursos Online,These ads ran without a disclaimer,6239,21
247728615732878,Paulinha,Ana Paula da Silva,6237,222
520798404655508,Baleia Rossi,Baleia Rossi,6227,26
101466471666939,Diogo Pernoca,Diogo Costa,6175,253
232264546798998,Portal do Marcos Santos,Portal Marcos Santos,6122,96
