Page ID,Page name,Disclaimer,Amount spent (BRL)
1931965243746616,Professora Rita Gonçalves,Inovart Cursos e Treinamentos,≤100
1079067918964590,Karlyson Rebolça,Karlyson Da Silva Rebolca,≤100
1616205035266338,Instituto Vitae,These ads ran without a disclaimer,≤100
105821366170914,PT - Partido dos Trabalhadores,Partido dos Trabalhadores,≤100
195844580478494,Carlos Geilson,Carlos Geilson Dos Santos Silva,≤100
431205976969068,Gender Racing Team,These ads ran without a disclaimer,≤100
165175370206522,Citi Brasil,These ads ran without a disclaimer,≤100
113901773672666,Dandara Tonantzin,Dandara Tonantzin Silva Castro,≤100
1932439517063132,Política com Dendê,Rafael Souza,≤100
683112611711482,Daniel Caldeira,Daniel Caldeira,≤100
1439518869655450,Carlos Fávaro,Carlos Favaro,≤100
104687751369948,Ozair Coelho Polaco,Luis Rodrigo Rossete,≤100
231407937466606,Protetores em Ação,Luciana Jardim,≤100
105543378737246,Chapa 77 - Lutar Para Mudar & Transformar,Pedro Augusto Rangel De Oliveira,≤100
247815045422756,Airton Faleiro,AIRTON FALEIRO,≤100
292831438163488,Dr Oswaldo Cardoso,These ads ran without a disclaimer,≤100
1486856511579646,Taiguara Fernandes de Sousa,These ads ran without a disclaimer,≤100
355881814480574,Juninho BOI,Fabiano Junior Leite de Souza,≤100
955886611131180,Conquista Cursos Concursos,These ads ran without a disclaimer,≤100
1627062314047750,Thiago da Marmoraria,Thiago Silva,≤100
1467525600233765,Central da Notícia,These ads ran without a disclaimer,≤100
100161351991012,robertanobrebarreto,Roberta Nobre,≤100
284122375109891,Nilson Gaspar,Nilson Gaspar,≤100
596531540477553,Prefeitura Tarumã,Prefeitura de Tarumã,≤100
906662389687964,Alan Despachante,Alan Bruno Ferreira De Oliveira,≤100
141115832919796,Professor Mollar,Jonathan Molar,≤100
797333806953584,Unifametro,These ads ran without a disclaimer,≤100
1639400146168197,Bartô,Bernardo Moreira,≤100
105806991879674,Fagundes Redação Pontual,These ads ran without a disclaimer,≤100
108844097331593,Bernardo Abreu,Bernardo Abreu Sampaio,≤100
348681445247065,Adeliana Dal Pont,Adeliana Pont,≤100
100474221848197,Matson Luis Cé,Mtason Luis Cé,≤100
105026008232681,Vereador Paulo Henrique,Paulo Henrique Rodrigues Silva,≤100
103823745316356,Edigar Diniz,Edigar Antonio Diniz Junior,≤100
1873388979655376,Luis Costa,Luis Pereira Costa,≤100
117715586296548,Sindicato dos Bancários de Umuarama e Assis Chateaubriand,Elias Soares,≤100
